Type,Text,URL
p,CPHI Online is part of the Informa Markets Division of Informa PLC,
a,Informa PLC,https://informa.com/
a,ABOUT US,https://informa.com/About-Us/
a,INVESTOR RELATIONS,https://informa.com/Investors/
a,TALENT,https://informa.com/Talent/
p,"This site is operated by a business or businesses owned by Informa PLC and all copyright resides
with them. Informa PLC's registered office is 5 Howick Place, London SW1P 1WG. Registered in
England and Wales. Number 8860726.",
a,,/
a,Login,#
a,View profile,/live/dash/default.jsp
a,Log out,#
img,,
a,Sign in,#
a,Sign out,#
a,My profile,/live/dash/default.jsp
a,my events & webinars,/live/dash/default.jsp?status=1_2
a,Company profiles,/live/dash/default.jsp?status=2_1
a,Leads & Statistics,/live/dash/default.jsp?status=3_1
a,Find a Partner or Product,javascript:
a,Products,/products/
a,Services,/services/
a,Regions,/regions/
a,Knowledge HUB,javascript:
a,News & Insights,/news/all.html
a,Content Hub,/content-hub/
a,Reports,/reports/
a,Podcasts,/podcasts/
a,Events and Webinars,javascript:
a,Events,/pharma-events/
a,Webinars,/webinars/
a,Event content,/event-content/
a,Digital Products,https://www.cphi.com/en/digital-products/digital-products/digital-marketing.html
a,Membership,/memberships
a,About Us,javascript:
a,CPHI Online,/about-us/
a,Sustainability,/sustainability/
a,"Diversity, Equity and Inclusion",/diversity/
a,Newsletter,/newsletter/
a,FAQ,/faq/
a,Home,/
a,"Ulanqab Kema New Material Co.,Ltd",/ulanqab-kema-new-material-co-ltd-comp310002.html
h2,CPHI Online isthe largest global marketplacein the pharma ingredients industry,
a,Read more about CPHI,javascript:
h1,NVP/ N-vinylpyrrolidone,
img,,/46/product/128/82/98/homopolymer%20of%20vinylpyrrolidone%20use%20as%20disintegrant.jpg
h6,Product Description,
p,"Colorless to light yellow liquid under roo temperature , easily soluble in water, methanol and many other organic solvents, and crystallizes below 13 ℃, chenmically active and easily hydrolyzed and polymerized. N-vinylpyrrolidone is widely used in adhesives, textiles, wood, paper, plastic UV coationgs ,pharmaceuticals, and also commonly used in homopolymers (PVPK series) and copolymers (VA series)",
a,Read moreShow less,javascript:
h4,"Ulanqab Kema New Material Co.,Ltd",
img,,/img/v2021/flags/cn.svg
a,View company profile,/ulanqab-kema-new-material-co-ltd-comp310002.html
a,+86-18758868090,tel:+86-18758868090
img,,https://www.cphi-online.com/portal/files/contact/30/95/27/Xueni%20Guo.jpg
a,Xueni Guo,javascript:void(0)
img,,https://www.cphi-online.com/portal/files/contact/37/50/38/Yueshuang%20Zhang.jpg
a,Yueshuang Zhang,javascript:void(0)
img,,https://www.cphi-online.com/portal/files/contact/38/00/52/logo%20%E7%BBˆ.png
a,You Jin,javascript:void(0)
a,Register to view representatives,#
a,Show contact infoHide contact info,javascript:
h6,Categories,
a,APIs (Active Pharmaceutical Ingredients),/apis-active-pharmaceutical-ingredients-code007586.html
a,more categoriesShow less,javascript:
h6,Specifications,
a,More specificationsFewer specifications,javascript:
h6,Sales Markets,
a,"North America (USA, Canada)",
a,"East Asia (e.g. China, Japan, Korea)",
a,"Europe - non EU (e.g. UK, Russia, ex-CIS countries)",
a,"South America (e.g. Brazil, Colombia)",
a,"South Asia (e.g. India, Pakistan, Sri Lanka)",
a,Show moreShow less,javascript:
h4,"Ulanqab Kema New Material Co.,Ltd",
img,,/img/v2021/flags/cn.svg
a,View company profile,/ulanqab-kema-new-material-co-ltd-comp310002.html
a,+86-18758868090,tel:+86-18758868090
img,,https://www.cphi-online.com/portal/files/contact/30/95/27/Xueni%20Guo.jpg
a,Xueni Guo,javascript:void(0)
img,,https://www.cphi-online.com/portal/files/contact/37/50/38/Yueshuang%20Zhang.jpg
a,Yueshuang Zhang,javascript:void(0)
img,,https://www.cphi-online.com/portal/files/contact/38/00/52/logo%20%E7%BBˆ.png
a,You Jin,javascript:void(0)
a,Register to view representatives,#
a,Show contact infoHide contact info,javascript:
h4,"More Products fromUlanqab Kema New Material Co.,Ltd(4)",
a,,/copovidone-va64-pvp-va64-prod1288310.html
img,,https://www.cphi-online.com/46/product/128/83/10/p1288310th_S.jpg
h3,ProductCopovidone VA64/ PVP VA64,
a,ProductCopovidone VA64/ PVP VA64,/copovidone-va64-pvp-va64-prod1288310.html
a,,/crospovidone-pvpp-prod1288302.html
img,,https://www.cphi-online.com/46/product/128/83/02/p0th_S.jpg
h3,ProductCrospovidone /PVPP,
a,ProductCrospovidone /PVPP,/crospovidone-pvpp-prod1288302.html
a,,/povidone-iodine-pvp-i-prod1288306.html
img,,https://www.cphi-online.com/46/product/128/83/06/p1288306th_S.jpg
h3,ProductPovidone Iodine/ PVP-I,
a,ProductPovidone Iodine/ PVP-I,/povidone-iodine-pvp-i-prod1288306.html
a,,/povidone-k-series-prod1288296.html
img,,https://www.cphi-online.com/46/product/128/82/96/p0th_S.jpg
h3,ProductPovidone K series,
a,ProductPovidone K series,/povidone-k-series-prod1288296.html
h5,Position your company at the heart of the global Pharma industry with a CPHI Online membership,
a,Discover our membership options,/memberships
h4,About us,
a,Memberships,/memberships
a,Contact,/contact
a,Sitemap,/sitemap
h4,Contact us,
a,Informa Markets B.V.,https://www.informamarkets.com/
a,+31 20 245 5355,tel:0031202455355
a,[email protected],/cdn-cgi/l/email-protection#f596859d9c968086819a989087869087839c9690b59c9b939a879894db969a98
a,+31 20 245 5355,tel:0031202455355
h4,Showcase your company,
p,"Showcase your company and products to over 3,000,000 online visitors",
p,Register now,
a,Register now,/memberships
p,View suppliers,
a,View suppliers,/company/a.html
h4,CPHI Online Newsletter,
p,"Your weekly dose of all the latest news, emerging trends, and product innovation in the pharma industry.",
a,,https://www.informamarkets.com
img,,https://www.cphi-online.com/46/homepage/00/11/28/img/Informa-Markets-Logo_web.png
a,Accessibility,https://www.informamarkets.com/accessibility
a,Privacy Policy,https://www.informamarkets.com/privacy-policy
a,Terms of Use,https://www.informamarkets.com/terms-of-use
a,Visitor Terms and Conditions,https://www.informamarkets.com/visitor-terms-and-conditions
h5,Create new Favorites list,
a,,#
h2,Coming soon,
p,This functionality is coming soon.Please fill out the form below to receive an update as soon as this new functionality is available.,
a,PolicyInforma Markets may from time to time send updates about this product and other relevant Informa Markets products and services. Your email will not be given to 3rd parties. By providing your email address you consent to being contacted by email for direct marketing purposes by Informa Markets.,javascript:;
a,,#
h2,"Ulanqab Kema New Material Co.,Ltd",
h3,Address,
h3,Telephone,
a,+86-18758868090,tel:+86-18758868090
a,,javascript:
h2,Request for general information,
p,To proceed please sign up (free buyer account) or log in (if you already have an account).,
a,Sign up,javascript:void(0)
a,"Log
in",javascript:void(0)
p,With your request for information your details will be shared in the email to:,
img,,
p,Your personal information:,
a,,
a,Show more,javascript:
p,"If you want to change or update this information, you can do this inyour
account pages",
a,"your
account pages",/live/dash/default.jsp?status=1_1
